file_path,labels_path,exercise,n_frames,frames_benar,frames_salah
data\processed\tensors\BenchPress_001.npy,data\processed\v2_labels\BenchPress_001_labels.npy,benchpress,64,7,57
data\processed\tensors\BenchPress_002.npy,data\processed\v2_labels\BenchPress_002_labels.npy,benchpress,64,49,15
data\processed\tensors\BenchPress_003.npy,data\processed\v2_labels\BenchPress_003_labels.npy,benchpress,64,56,8
data\processed\tensors\BenchPress_004.npy,data\processed\v2_labels\BenchPress_004_labels.npy,benchpress,64,18,46
data\processed\tensors\BenchPress_005.npy,data\processed\v2_labels\BenchPress_005_labels.npy,benchpress,64,20,44
data\processed\tensors\BenchPress_006.npy,data\processed\v2_labels\BenchPress_006_labels.npy,benchpress,64,23,41
data\processed\tensors\BenchPress_007.npy,data\processed\v2_labels\BenchPress_007_labels.npy,benchpress,64,33,31
data\processed\tensors\BenchPress_008.npy,data\processed\v2_labels\BenchPress_008_labels.npy,benchpress,64,2,62
data\processed\tensors\BenchPress_009.npy,data\processed\v2_labels\BenchPress_009_labels.npy,benchpress,64,23,41
data\processed\tensors\BenchPress_010.npy,data\processed\v2_labels\BenchPress_010_labels.npy,benchpress,64,16,48
data\processed\tensors\BenchPress_011.npy,data\processed\v2_labels\BenchPress_011_labels.npy,benchpress,64,36,28
data\processed\tensors\BenchPress_012.npy,data\processed\v2_labels\BenchPress_012_labels.npy,benchpress,64,19,45
data\processed\tensors\BenchPress_013.npy,data\processed\v2_labels\BenchPress_013_labels.npy,benchpress,64,33,31
data\processed\tensors\BenchPress_014.npy,data\processed\v2_labels\BenchPress_014_labels.npy,benchpress,64,7,57
data\processed\tensors\BenchPress_015.npy,data\processed\v2_labels\BenchPress_015_labels.npy,benchpress,64,11,53
data\processed\tensors\BenchPress_016.npy,data\processed\v2_labels\BenchPress_016_labels.npy,benchpress,64,22,42
data\processed\tensors\BenchPress_017.npy,data\processed\v2_labels\BenchPress_017_labels.npy,benchpress,64,11,53
data\processed\tensors\BenchPress_018.npy,data\processed\v2_labels\BenchPress_018_labels.npy,benchpress,64,2,62
data\processed\tensors\BenchPress_019.npy,data\processed\v2_labels\BenchPress_019_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_020.npy,data\processed\v2_labels\BenchPress_020_labels.npy,benchpress,64,3,61
data\processed\tensors\BenchPress_021.npy,data\processed\v2_labels\BenchPress_021_labels.npy,benchpress,64,2,62
data\processed\tensors\BenchPress_022.npy,data\processed\v2_labels\BenchPress_022_labels.npy,benchpress,64,3,61
data\processed\tensors\BenchPress_023.npy,data\processed\v2_labels\BenchPress_023_labels.npy,benchpress,64,4,60
data\processed\tensors\BenchPress_024.npy,data\processed\v2_labels\BenchPress_024_labels.npy,benchpress,64,10,54
data\processed\tensors\BenchPress_025.npy,data\processed\v2_labels\BenchPress_025_labels.npy,benchpress,64,11,53
data\processed\tensors\BenchPress_026.npy,data\processed\v2_labels\BenchPress_026_labels.npy,benchpress,64,2,62
data\processed\tensors\BenchPress_027.npy,data\processed\v2_labels\BenchPress_027_labels.npy,benchpress,64,2,62
