nama_dataset,nama_video_mentah,jenis_latihan,camera_view,total_lm_frames,total_zero_filled_lm,persentase_zero_fill_pct,frame_validator_terdampak,persentase_frame_val_terdampak_pct,zero_shoulder,zero_elbow,zero_wrist,zero_hip,zero_knee,zero_ankle
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_002,primer_benchpress_frontal_subjek01_rep10.mp4,benchpress,frontal,2112,255,12.07,64,100.0,0,47,64,0,0,0
BenchPress_003,primer_benchpress_frontal_subjek01_rep11.mp4,benchpress,frontal,2112,316,14.96,54,84.38,0,54,54,0,2,12
BenchPress_004,primer_benchpress_frontal_subjek01_rep12.mp4,benchpress,frontal,2112,112,5.3,17,26.56,0,17,17,0,0,13
BenchPress_005,primer_benchpress_frontal_subjek01_rep13.mp4,benchpress,frontal,2112,46,2.18,7,10.94,0,7,7,0,16,16
BenchPress_006,primer_benchpress_frontal_subjek01_rep14.mp4,benchpress,frontal,2112,19,0.9,7,10.94,0,9,2,0,0,0
BenchPress_007,primer_benchpress_frontal_subjek01_rep15.mp4,benchpress,frontal,2112,168,7.95,22,34.38,0,21,7,0,37,33
BenchPress_008,primer_benchpress_frontal_subjek01_rep16.mp4,benchpress,frontal,2112,332,15.72,0,0.0,0,0,0,0,64,94
BenchPress_009,primer_benchpress_frontal_subjek01_rep17.mp4,benchpress,frontal,2112,107,5.07,3,4.69,0,3,3,0,25,25
BenchPress_010,primer_benchpress_frontal_subjek01_rep18.mp4,benchpress,frontal,2112,37,1.75,18,28.12,0,18,0,0,1,18
BenchPress_011,primer_benchpress_frontal_subjek01_rep19.mp4,benchpress,frontal,2112,195,9.23,29,45.31,0,29,13,0,44,29
BenchPress_012,primer_benchpress_frontal_subjek01_rep2.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_013,primer_benchpress_frontal_subjek01_rep20.mp4,benchpress,frontal,2112,99,4.69,21,32.81,0,21,4,0,25,18
BenchPress_014,primer_benchpress_frontal_subjek01_rep21.mp4,benchpress,frontal,2112,232,10.98,20,31.25,0,20,2,0,42,64
BenchPress_015,primer_benchpress_frontal_subjek01_rep22.mp4,benchpress,frontal,2112,80,3.79,11,17.19,0,10,10,0,16,14
BenchPress_016,primer_benchpress_frontal_subjek01_rep23.mp4,benchpress,frontal,2112,209,9.9,37,57.81,0,37,36,0,2,32
BenchPress_017,primer_benchpress_frontal_subjek01_rep24.mp4,benchpress,frontal,2112,56,2.65,9,14.06,0,9,9,0,1,10
BenchPress_018,primer_benchpress_frontal_subjek01_rep25.mp4,benchpress,frontal,2112,6,0.28,0,0.0,0,0,0,0,0,6
BenchPress_019,primer_benchpress_frontal_subjek01_rep26.mp4,benchpress,frontal,2112,13,0.62,1,1.56,0,0,1,0,2,3
BenchPress_020,primer_benchpress_frontal_subjek01_rep27.mp4,benchpress,frontal,2112,313,14.82,3,4.69,0,3,0,0,90,94
BenchPress_021,primer_benchpress_frontal_subjek01_rep28.mp4,benchpress,frontal,2112,50,2.37,3,4.69,0,2,1,0,9,30
BenchPress_022,primer_benchpress_frontal_subjek01_rep29.mp4,benchpress,frontal,2112,31,1.47,3,4.69,0,2,1,0,5,13
BenchPress_023,primer_benchpress_frontal_subjek01_rep3.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_024,primer_benchpress_frontal_subjek01_rep30.mp4,benchpress,frontal,2112,66,3.12,5,7.81,0,5,4,0,1,26
BenchPress_025,primer_benchpress_frontal_subjek01_rep31.mp4,benchpress,frontal,2112,125,5.92,4,6.25,0,4,1,0,37,33
BenchPress_026,primer_benchpress_frontal_subjek01_rep32.mp4,benchpress,frontal,2112,417,19.74,1,1.56,0,1,1,0,113,114
BenchPress_027,primer_benchpress_frontal_subjek01_rep33.mp4,benchpress,frontal,2112,37,1.75,0,0.0,0,0,0,0,10,14
BenchPress_028,primer_benchpress_frontal_subjek01_rep34.mp4,benchpress,frontal,2112,439,20.79,6,9.38,0,6,0,0,128,114
BenchPress_029,primer_benchpress_frontal_subjek01_rep35.mp4,benchpress,frontal,2112,320,15.15,4,6.25,0,4,0,0,99,62
BenchPress_030,primer_benchpress_frontal_subjek01_rep36.mp4,benchpress,frontal,2112,470,22.25,10,15.62,0,10,0,0,128,128
BenchPress_031,primer_benchpress_frontal_subjek01_rep37.mp4,benchpress,frontal,2112,441,20.88,0,0.0,0,0,0,0,128,128
BenchPress_032,primer_benchpress_frontal_subjek01_rep38.mp4,benchpress,frontal,2112,397,18.8,0,0.0,0,0,0,0,128,86
BenchPress_033,primer_benchpress_frontal_subjek01_rep39.mp4,benchpress,frontal,2112,382,18.09,4,6.25,0,4,0,0,128,94
BenchPress_034,primer_benchpress_frontal_subjek01_rep4.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_035,primer_benchpress_frontal_subjek01_rep40.mp4,benchpress,frontal,2112,326,15.44,0,0.0,0,0,0,0,87,93
BenchPress_036,primer_benchpress_frontal_subjek01_rep41.mp4,benchpress,frontal,2112,363,17.19,5,7.81,0,5,0,0,128,68
BenchPress_037,primer_benchpress_frontal_subjek01_rep42.mp4,benchpress,frontal,2112,341,16.15,0,0.0,0,0,0,0,106,105
BenchPress_038,primer_benchpress_frontal_subjek01_rep43.mp4,benchpress,frontal,2112,485,22.96,8,12.5,0,8,0,0,128,128
BenchPress_039,primer_benchpress_frontal_subjek01_rep44.mp4,benchpress,frontal,2112,458,21.69,0,0.0,0,0,0,0,128,118
BenchPress_040,primer_benchpress_frontal_subjek01_rep45.mp4,benchpress,frontal,2112,513,24.29,1,1.56,0,1,0,0,128,128
BenchPress_041,primer_benchpress_frontal_subjek01_rep46.mp4,benchpress,frontal,2112,513,24.29,1,1.56,0,1,0,0,128,128
BenchPress_042,primer_benchpress_frontal_subjek01_rep47.mp4,benchpress,frontal,2112,464,21.97,0,0.0,0,0,0,0,128,128
BenchPress_043,primer_benchpress_frontal_subjek01_rep48.mp4,benchpress,frontal,2112,498,23.58,0,0.0,0,0,0,0,128,128
BenchPress_044,primer_benchpress_frontal_subjek01_rep49.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
