Peringkat,Nama_Sendi,Bobot_Atensi
1,Right_Knee,0.77422595
2,Right_Elbow,0.7692772
3,Left_Ear,0.7584834
4,Right_Ear,0.7570216
5,Left_Knee,0.755061
6,Right_Thumb,0.75459045
7,Left_Elbow,0.74959624
8,Right_Shoulder,0.7443517
9,Right_Hip,0.7437523
10,Left_Foot_Index,0.74095225
11,Right_Index,0.7375507
12,Right_Heel,0.7365778
13,Mouth_Left,0.73632866
14,Left_Shoulder,0.7314235
15,Left_Thumb,0.7290121
16,Right_Wrist,0.7283288
17,Left_Hip,0.72250175
18,Left_Eye_Outer,0.72166437
19,Left_Eye,0.7213472
20,Right_Foot_Index,0.72076243
21,Right_Eye_Inner,0.7194958
22,Right_Eye,0.7174218
23,Right_Eye_Outer,0.7173682
24,Left_Wrist,0.7138245
25,Nose,0.7123256
26,Mouth_Right,0.7083272
27,Left_Eye_Inner,0.7052108
28,Left_Heel,0.6987861
29,Right_Ankle,0.698707
30,Right_Pinky,0.6984426
31,Left_Index,0.6847871
32,Left_Ankle,0.6819365
33,Left_Pinky,0.66327393
