Indeks_Sendi,Nama_Sendi,Skenario 2 — Full Model (BSP + LearnedSpatial + Temporal),Skenario 3a — Ablasi: Hanya BSP,Skenario 3b — Ablasi: BSP + LearnedSpatial,Skenario 3c — Ablasi: BSP + Temporal
0,Nose,0.712326,0.665671,0.728483,0.718747
1,Left_Eye_Inner,0.705211,0.703695,0.723539,0.713426
2,Left_Eye,0.721347,0.715137,0.742871,0.710518
3,Left_Eye_Outer,0.721664,0.734577,0.715896,0.715085
4,Right_Eye_Inner,0.719496,0.722561,0.701461,0.742226
5,Right_Eye,0.717422,0.706306,0.709164,0.717457
6,Right_Eye_Outer,0.717368,0.742852,0.758394,0.720376
7,Left_Ear,0.758483,0.731325,0.739794,0.757391
8,Right_Ear,0.757022,0.721474,0.702939,0.727263
9,Mouth_Left,0.736329,0.732571,0.748043,0.739288
10,Mouth_Right,0.708327,0.716655,0.720538,0.708728
11,Left_Shoulder,0.731423,0.727174,0.729179,0.721607
12,Right_Shoulder,0.744352,0.742671,0.757395,0.744094
13,Left_Elbow,0.749596,0.761341,0.755469,0.752883
14,Right_Elbow,0.769277,0.757605,0.739937,0.760572
15,Left_Wrist,0.713825,0.732556,0.707925,0.744286
16,Right_Wrist,0.728329,0.719174,0.727632,0.729117
17,Left_Pinky,0.663274,0.70891,0.715735,0.67001
18,Right_Pinky,0.698443,0.709053,0.69101,0.709208
19,Left_Index,0.684787,0.706243,0.709956,0.732734
20,Right_Index,0.737551,0.722658,0.710392,0.730182
21,Left_Thumb,0.729012,0.72784,0.72293,0.724211
22,Right_Thumb,0.75459,0.748783,0.762408,0.732159
23,Left_Hip,0.722502,0.757503,0.755578,0.748931
24,Right_Hip,0.743752,0.718749,0.726613,0.735958
25,Left_Knee,0.755061,0.763427,0.758284,0.772931
26,Right_Knee,0.774226,0.763049,0.757928,0.76696
27,Left_Ankle,0.681937,0.676959,0.6983,0.694819
28,Right_Ankle,0.698707,0.731245,0.715188,0.679338
29,Left_Heel,0.698786,0.706852,0.705715,0.697533
30,Right_Heel,0.736578,0.732278,0.737977,0.737468
31,Left_Foot_Index,0.740952,0.726927,0.722194,0.72565
32,Right_Foot_Index,0.720762,0.724462,0.720929,0.740909
