Skenario,Fold,N_Video_Val,N_Frame_Val,Accuracy (%),F1_Macro,F1_Binary,Val_Loss_Terbaik,Durasi_Detik
Skenario 1 — Baseline,1,98,6272,92.95,0.9276,0.9394,0.15548,44.1
Skenario 1 — Baseline,2,98,6272,90.45,0.904,0.9108,0.230743,44.4
Skenario 1 — Baseline,3,97,6208,91.01,0.9093,0.9179,0.201777,44.3
Skenario 1 — Baseline,4,97,6208,91.82,0.9141,0.9328,0.180336,44.1
Skenario 1 — Baseline,5,97,6208,90.38,0.9015,0.9166,0.227568,44.6
Skenario 2 — Full Model,1,98,6272,93.4,0.9323,0.9429,0.157639,45.1
Skenario 2 — Full Model,2,98,6272,88.03,0.8794,0.8898,0.283995,44.7
Skenario 2 — Full Model,3,97,6208,91.14,0.9101,0.921,0.197965,44.3
Skenario 2 — Full Model,4,97,6208,90.87,0.9033,0.926,0.213092,44.4
Skenario 2 — Full Model,5,97,6208,91.66,0.9143,0.9283,0.218127,44.3
Skenario 3a — Ablasi: BSP,1,98,6272,92.83,0.9262,0.9384,0.164147,43.8
Skenario 3a — Ablasi: BSP,2,98,6272,91.61,0.9157,0.9219,0.213695,44.6
Skenario 3a — Ablasi: BSP,3,97,6208,91.35,0.9127,0.921,0.190905,45.0
Skenario 3a — Ablasi: BSP,4,97,6208,93.32,0.9296,0.9454,0.166105,43.9
Skenario 3a — Ablasi: BSP,5,97,6208,89.98,0.8971,0.9137,0.228594,44.0
Skenario 3b — Ablasi: BSP+LS,1,98,6272,94.15,0.9399,0.9496,0.146563,43.9
Skenario 3b — Ablasi: BSP+LS,2,98,6272,91.69,0.9166,0.9217,0.226774,43.7
Skenario 3b — Ablasi: BSP+LS,3,97,6208,89.93,0.899,0.9048,0.213569,43.8
Skenario 3b — Ablasi: BSP+LS,4,97,6208,93.44,0.9307,0.9468,0.15499,43.6
Skenario 3b — Ablasi: BSP+LS,5,97,6208,89.9,0.8963,0.913,0.221417,43.8
Skenario 3c — Ablasi: BSP+Temp,1,98,6272,93.27,0.9307,0.9425,0.163959,43.7
Skenario 3c — Ablasi: BSP+Temp,2,98,6272,89.17,0.8913,0.8984,0.280892,43.9
Skenario 3c — Ablasi: BSP+Temp,3,97,6208,90.16,0.9,0.9125,0.225901,43.8
Skenario 3c — Ablasi: BSP+Temp,4,97,6208,92.33,0.9187,0.9381,0.191503,43.9
Skenario 3c — Ablasi: BSP+Temp,5,97,6208,90.48,0.9024,0.9176,0.236907,43.8
