scenario,device,checkpoint,parameters,checkpoint_size_mb,bsp_active,learned_spatial_active,temporal_active,input_shape,output_shape,warmup_iterations,measured_iterations,peak_cuda_memory_mb,mean_ms,median_ms,std_ms,p95_ms,min_ms,max_ms,sequences_per_second
S1 Baseline,cpu,best_model_baseline.pth,101858,1.1862592697143555,False,False,False,"(1, 64, 33, 3)","(1, 64, 2)",50,500,0.0,1.1939984,1.17615,0.16685712126028826,1.4949399999999995,0.8267,2.201,837.5220603310692
S2 Full Model,cpu,best_model_v2.pth,110372,1.2917966842651367,True,True,True,"(1, 64, 33, 3)","(1, 64, 2)",50,500,0.0,1.6301258,1.6313499999999999,0.20239001979986357,1.989175,1.1496,2.4361,613.4495877557425
S3a BSP,cpu,best_model_s3a_bsp_holdout_v2.pth,101891,1.1886606216430664,True,False,False,"(1, 64, 33, 3)","(1, 64, 2)",50,500,0.0,1.2751432,1.23485,0.2602280211270866,1.5748249999999997,0.8659,5.2467,784.2256461862479
S3b BSP+Learned Spatial,cpu,best_model_ablasi_c.pth,110243,1.2882375717163086,True,True,False,"(1, 64, 33, 3)","(1, 64, 2)",50,500,0.0,1.2641384,1.2545,0.16788151432228113,1.5168699999999995,0.9327,2.0161,791.0526252505264
S3c BSP+Temporal,cpu,best_model_ablasi_b.pth,102020,1.1916723251342773,True,False,True,"(1, 64, 33, 3)","(1, 64, 2)",50,500,0.0,1.4683568,1.4649999999999999,0.1610902936218018,1.7367599999999999,1.0722,2.1561,681.0333837116428
S1 Baseline,cuda,best_model_baseline.pth,101858,1.1862592697143555,False,False,False,"(1, 64, 33, 3)","(1, 64, 2)",50,500,77.29443359375,0.7343728,0.71975,0.061737100022582835,0.8043499999999999,0.6944,1.3505,1361.706206983701
S2 Full Model,cuda,best_model_v2.pth,110372,1.2917966842651367,True,True,True,"(1, 64, 33, 3)","(1, 64, 2)",50,500,22.70556640625,1.0871904,1.0676,0.09249679162415053,1.1483749999999995,1.0358,1.9748,919.8020880243241
S3a BSP,cuda,best_model_s3a_bsp_holdout_v2.pth,101891,1.1886606216430664,True,False,False,"(1, 64, 33, 3)","(1, 64, 2)",50,500,9.59326171875,0.7708646,0.75675,0.06112126393203349,0.8373299999999997,0.7353,1.5006,1297.2446782482941
S3b BSP+Learned Spatial,cuda,best_model_ablasi_c.pth,110243,1.2882375717163086,True,True,False,"(1, 64, 33, 3)","(1, 64, 2)",50,500,9.70458984375,0.9544428,0.94085,0.059472156198390615,1.0171199999999998,0.909,1.5893,1047.7317236821316
S3c BSP+Temporal,cuda,best_model_ablasi_b.pth,102020,1.1916723251342773,True,False,True,"(1, 64, 33, 3)","(1, 64, 2)",50,500,9.59521484375,0.8973188,0.88105,0.06635363332833963,0.9849499999999998,0.8518,1.4789,1114.4311252589382
