epoch,train_loss,train_acc,val_loss,val_acc
1,0.605824,0.635184,0.57468,0.696704
2,0.555492,0.708147,0.565742,0.683647
3,0.519154,0.735445,0.487883,0.792808
4,0.457658,0.780878,0.445955,0.799229
5,0.421297,0.809338,0.408257,0.806079
6,0.418788,0.812965,0.423452,0.79131
7,0.385782,0.819661,0.395196,0.812286
8,0.382997,0.829381,0.420367,0.786601
9,0.378881,0.826358,0.328269,0.861515
10,0.34106,0.854492,0.329689,0.866224
11,0.329773,0.860166,0.434155,0.806293
12,0.333431,0.857468,0.312138,0.873288
13,0.332516,0.85705,0.404168,0.828767
14,0.319428,0.857329,0.285989,0.882705
15,0.302862,0.874442,0.284104,0.885916
16,0.276977,0.88723,0.329827,0.848245
17,0.299276,0.875744,0.315006,0.866438
18,0.277992,0.8883,0.278455,0.880137
19,0.276936,0.886533,0.352791,0.833476
20,0.264563,0.889416,0.321451,0.860017
21,0.293033,0.873512,0.440485,0.818493
22,0.284166,0.880673,0.255677,0.900685
23,0.256417,0.891323,0.282728,0.867295
24,0.274247,0.890299,0.341911,0.864298
25,0.258265,0.898251,0.254775,0.906892
26,0.242345,0.903134,0.296441,0.87393
27,0.260996,0.889509,0.267354,0.884204
28,0.244297,0.900577,0.257829,0.894692
29,0.225664,0.90732,0.243631,0.895976
30,0.229917,0.905134,0.288983,0.869863
31,0.235924,0.90332,0.358044,0.833904
32,0.227779,0.90718,0.287991,0.884632
33,0.215373,0.910947,0.285512,0.88399
34,0.203279,0.917643,0.286697,0.876498
35,0.239973,0.901507,0.288176,0.873716
36,0.224357,0.907506,0.235804,0.912457
37,0.211474,0.917178,0.268485,0.894264
38,0.186076,0.925595,0.314599,0.857663
39,0.200248,0.918341,0.223653,0.90839
40,0.17887,0.927502,0.292944,0.873074
41,0.190094,0.920015,0.278123,0.886344
42,0.191801,0.921828,0.239318,0.900899
43,0.169003,0.931408,0.224737,0.905822
44,0.181498,0.926758,0.25948,0.892765
45,0.219077,0.907366,0.318614,0.869007
46,0.209709,0.912528,0.264248,0.893408
47,0.19326,0.922108,0.395511,0.837543
48,0.175964,0.928525,0.263933,0.906892
49,0.176311,0.927967,0.218351,0.908818
50,0.168312,0.935268,0.31715,0.860659
51,0.186987,0.924479,0.353166,0.870291
52,0.163915,0.934477,0.204907,0.914598
53,0.185047,0.924572,0.22736,0.906464
54,0.168281,0.931129,0.31681,0.873716
55,0.182282,0.926618,0.26407,0.893836
56,0.157646,0.937779,0.24175,0.89833
57,0.174461,0.929827,0.324003,0.86708
58,0.152999,0.938663,0.237068,0.904752
59,0.19892,0.920526,0.30167,0.879709
60,0.172672,0.92992,0.239778,0.897688
61,0.171941,0.932943,0.371027,0.858091
62,0.166258,0.93192,0.241154,0.901327
63,0.155823,0.9375,0.224347,0.911173
64,0.149797,0.942476,0.329646,0.872646
65,0.145296,0.942615,0.258124,0.903253
66,0.13403,0.946847,0.246582,0.90839
67,0.13425,0.944429,0.222644,0.912671
68,0.133586,0.948428,0.240636,0.899829
69,0.125945,0.950846,0.222322,0.912671
70,0.140557,0.944615,0.294442,0.885488
71,0.139715,0.945266,0.358336,0.871789
72,0.156125,0.939081,0.274772,0.892979
73,0.149174,0.939918,0.305763,0.893193
74,0.134469,0.946196,0.252496,0.900899
75,0.130522,0.948707,0.318336,0.888913
76,0.131519,0.947684,0.279728,0.891909
77,0.128986,0.948242,0.316183,0.884846
78,0.128428,0.948568,0.249146,0.912885
79,0.138775,0.943685,0.247374,0.90411
80,0.140843,0.942569,0.283148,0.896832
81,0.131049,0.947777,0.229344,0.916524
82,0.113671,0.955032,0.248366,0.910103
83,0.103995,0.957868,0.410233,0.868365
84,0.121951,0.951962,0.37713,0.866866
85,0.11984,0.952055,0.216818,0.913741
86,0.117829,0.95466,0.298368,0.892337
87,0.114323,0.955125,0.279591,0.900043
88,0.111987,0.956659,0.250532,0.906892
89,0.105908,0.957729,0.276663,0.899829
90,0.109995,0.957217,0.257551,0.903253
91,0.113363,0.954148,0.268102,0.901327
92,0.108508,0.956055,0.223613,0.91738
93,0.124834,0.950009,0.264744,0.903682
94,0.128285,0.947359,0.280262,0.903896
95,0.118325,0.952706,0.242044,0.910103
96,0.119856,0.953451,0.226864,0.913099
97,0.118278,0.952613,0.451803,0.861729
98,0.118624,0.952474,0.282407,0.900685
99,0.12752,0.949684,0.462526,0.841824
100,0.112553,0.954009,0.269543,0.906678
