exercise,video_id,temporal_index,source_frame,timestamp,label_v2,metric_name,metric_value,threshold,validity
Squat,Squat_057,46,72,00:02.40,BENAR,Hip Flexion Angle,122.17,≤ 137.0°,VALID
Squat,Squat_057,47,74,00:02.47,BENAR,Hip Flexion Angle,123.28,≤ 137.0°,VALID
Squat,Squat_057,48,75,00:02.50,BENAR,Hip Flexion Angle,125.22,≤ 137.0°,VALID
Squat,Squat_057,49,77,00:02.57,BENAR,Hip Flexion Angle,126.28,≤ 137.0°,VALID
Squat,Squat_057,50,79,00:02.63,BENAR,Hip Flexion Angle,130.53,≤ 137.0°,VALID
Squat,Squat_057,51,80,00:02.67,BENAR,Hip Flexion Angle,133.52,≤ 137.0°,VALID
Squat,Squat_057,52,82,00:02.73,SALAH,Hip Flexion Angle,139.08,≤ 137.0°,VALID
Squat,Squat_057,53,83,00:02.77,SALAH,Hip Flexion Angle,142.66,≤ 137.0°,VALID
Squat,Squat_057,54,85,00:02.83,SALAH,Hip Flexion Angle,147.01,≤ 137.0°,VALID
Squat,Squat_057,55,87,00:02.90,SALAH,Hip Flexion Angle,151.84,≤ 137.0°,VALID
Squat,Squat_057,56,88,00:02.93,SALAH,Hip Flexion Angle,164.07,≤ 137.0°,VALID
Bench Press,BenchPress_034,45,86,00:02.87,BENAR,Elbow Flexion Angle,82.06,≤ 85.0°,VALID
Bench Press,BenchPress_034,46,88,00:02.93,BENAR,Elbow Flexion Angle,84.8,≤ 85.0°,VALID
Bench Press,BenchPress_034,47,90,00:03.00,BENAR,Elbow Flexion Angle,84.24,≤ 85.0°,VALID
Bench Press,BenchPress_034,48,92,00:03.07,BENAR,Elbow Flexion Angle,76.15,≤ 85.0°,VALID
Bench Press,BenchPress_034,49,94,00:03.13,BENAR,Elbow Flexion Angle,76.39,≤ 85.0°,VALID
Bench Press,BenchPress_034,50,96,00:03.20,BENAR,Elbow Flexion Angle,77.71,≤ 85.0°,VALID
Bench Press,BenchPress_034,51,98,00:03.27,SALAH,Elbow Flexion Angle,86.55,≤ 85.0°,VALID
Bench Press,BenchPress_034,52,100,00:03.33,SALAH,Elbow Flexion Angle,99.16,≤ 85.0°,VALID
Bench Press,BenchPress_034,53,102,00:03.40,SALAH,Elbow Flexion Angle,99.31,≤ 85.0°,VALID
Bench Press,BenchPress_034,54,103,00:03.43,SALAH,Elbow Flexion Angle,86.2,≤ 85.0°,VALID
Bench Press,BenchPress_034,55,105,00:03.50,SALAH,Elbow Flexion Angle,86.48,≤ 85.0°,VALID
Deadlift,Deadlift_002,47,81,00:02.70,SALAH,Spine Inclination Angle,65.32,20.0° ≤ θ ≤ 60.0°,VALID
Deadlift,Deadlift_002,48,83,00:02.77,SALAH,Spine Inclination Angle,67.03,20.0° ≤ θ ≤ 60.0°,VALID
Deadlift,Deadlift_002,49,85,00:02.83,SALAH,Spine Inclination Angle,66.94,20.0° ≤ θ ≤ 60.0°,VALID
Deadlift,Deadlift_002,50,86,00:02.87,SALAH,Spine Inclination Angle,65.65,20.0° ≤ θ ≤ 60.0°,VALID
Deadlift,Deadlift_002,51,88,00:02.93,SALAH,Spine Inclination Angle,63.76,20.0° ≤ θ ≤ 60.0°,VALID
Deadlift,Deadlift_002,52,90,00:03.00,SALAH,Spine Inclination Angle,62.08,20.0° ≤ θ ≤ 60.0°,VALID
Deadlift,Deadlift_002,53,92,00:03.07,BENAR,Spine Inclination Angle,59.86,20.0° ≤ θ ≤ 60.0°,VALID
Deadlift,Deadlift_002,54,93,00:03.10,BENAR,Spine Inclination Angle,57.39,20.0° ≤ θ ≤ 60.0°,VALID
Deadlift,Deadlift_002,55,95,00:03.17,BENAR,Spine Inclination Angle,53.56,20.0° ≤ θ ≤ 60.0°,VALID
Deadlift,Deadlift_002,56,97,00:03.23,BENAR,Spine Inclination Angle,52.04,20.0° ≤ θ ≤ 60.0°,VALID
Deadlift,Deadlift_002,57,99,00:03.30,BENAR,Spine Inclination Angle,50.89,20.0° ≤ θ ≤ 60.0°,VALID
