Frame_Ke,Label_Biner,Status,Lutut_Kanan_X (idx26),Lutut_Kanan_Y (idx26),Lutut_Kanan_Z (idx26),Nose_X (idx0),Nose_Y (idx0),Nose_Z (idx0),Left_Eye_Inner_X (idx1),Left_Eye_Inner_Y (idx1),Left_Eye_Inner_Z (idx1),Left_Eye_X (idx2),Left_Eye_Y (idx2),Left_Eye_Z (idx2),Left_Eye_Outer_X (idx3),Left_Eye_Outer_Y (idx3),Left_Eye_Outer_Z (idx3),Right_Eye_Inner_X (idx4),Right_Eye_Inner_Y (idx4),Right_Eye_Inner_Z (idx4),Right_Eye_X (idx5),Right_Eye_Y (idx5),Right_Eye_Z (idx5),Right_Eye_Outer_X (idx6),Right_Eye_Outer_Y (idx6),Right_Eye_Outer_Z (idx6),Left_Ear_X (idx7),Left_Ear_Y (idx7),Left_Ear_Z (idx7),Right_Ear_X (idx8),Right_Ear_Y (idx8),Right_Ear_Z (idx8),Mouth_Left_X (idx9),Mouth_Left_Y (idx9),Mouth_Left_Z (idx9),Mouth_Right_X (idx10),Mouth_Right_Y (idx10),Mouth_Right_Z (idx10),Left_Shoulder_X (idx11),Left_Shoulder_Y (idx11),Left_Shoulder_Z (idx11),Right_Shoulder_X (idx12),Right_Shoulder_Y (idx12),Right_Shoulder_Z (idx12),Left_Elbow_X (idx13),Left_Elbow_Y (idx13),Left_Elbow_Z (idx13),Right_Elbow_X (idx14),Right_Elbow_Y (idx14),Right_Elbow_Z (idx14),Left_Wrist_X (idx15),Left_Wrist_Y (idx15),Left_Wrist_Z (idx15),Right_Wrist_X (idx16),Right_Wrist_Y (idx16),Right_Wrist_Z (idx16),Left_Pinky_X (idx17),Left_Pinky_Y (idx17),Left_Pinky_Z (idx17),Right_Pinky_X (idx18),Right_Pinky_Y (idx18),Right_Pinky_Z (idx18),Left_Index_X (idx19),Left_Index_Y (idx19),Left_Index_Z (idx19),Right_Index_X (idx20),Right_Index_Y (idx20),Right_Index_Z (idx20),Left_Thumb_X (idx21),Left_Thumb_Y (idx21),Left_Thumb_Z (idx21),Right_Thumb_X (idx22),Right_Thumb_Y (idx22),Right_Thumb_Z (idx22),Left_Hip_X (idx23),Left_Hip_Y (idx23),Left_Hip_Z (idx23),Right_Hip_X (idx24),Right_Hip_Y (idx24),Right_Hip_Z (idx24),Left_Knee_X (idx25),Left_Knee_Y (idx25),Left_Knee_Z (idx25),Right_Knee_X (idx26),Right_Knee_Y (idx26),Right_Knee_Z (idx26),Left_Ankle_X (idx27),Left_Ankle_Y (idx27),Left_Ankle_Z (idx27),Right_Ankle_X (idx28),Right_Ankle_Y (idx28),Right_Ankle_Z (idx28),Left_Heel_X (idx29),Left_Heel_Y (idx29),Left_Heel_Z (idx29),Right_Heel_X (idx30),Right_Heel_Y (idx30),Right_Heel_Z (idx30),Left_Foot_Index_X (idx31),Left_Foot_Index_Y (idx31),Left_Foot_Index_Z (idx31),Right_Foot_Index_X (idx32),Right_Foot_Index_Y (idx32),Right_Foot_Index_Z (idx32)
1,1,SALAH,-0.5349,0.66034,-0.14877,0.07577,-1.27607,-0.92966,0.16003,-1.3515,-0.78872,0.20895,-1.34737,-0.79107,0.24879,-1.34207,-0.79132,-0.0015,-1.35502,-0.8156,-0.05833,-1.35306,-0.81881,-0.10398,-1.34803,-0.82011,0.31084,-1.30824,0.04625,-0.17542,-1.30479,-0.06452,0.16615,-1.19447,-0.59354,-0.01954,-1.19365,-0.64475,0.60509,-0.89897,0.43495,-0.50796,-0.90579,0.42143,0.88839,-0.46251,0.04345,-0.80652,-0.50293,-0.26892,1.32248,-0.77799,-1.1306,-1.24031,-0.78399,-1.59783,1.36044,-0.86777,-1.30016,-1.34199,-0.85576,-1.82293,1.3162,-0.90074,-1.42856,-1.29734,-0.89634,-1.94747,1.27341,-0.8686,-1.20815,-1.23724,-0.87444,-1.70288,0.3224,0.00428,-0.03599,-0.3224,-0.00428,0.03599,0.5725,0.66706,-0.14684,-0.5349,0.66034,-0.14877,0.73914,1.30059,0.74502,-0.71016,1.28124,0.59095,0.65664,1.38922,0.78225,-0.63517,1.37258,0.63796,1.05461,1.61937,0.18743,-1.05107,1.59138,0.09602
2,1,SALAH,-0.58419,0.72241,-0.16921,0.08128,-1.38643,-2.85614,0.17281,-1.46478,-2.60484,0.22582,-1.46229,-2.60796,0.27461,-1.45868,-2.60752,-0.00232,-1.47018,-2.61885,-0.06147,-1.46992,-2.62245,-0.1095,-1.46678,-2.62447,0.33646,-1.42398,-1.0937,-0.19196,-1.42322,-1.1528,0.17927,-1.29993,-2.26213,-0.02027,-1.30095,-2.30232,0.65974,-0.97497,-0.15072,-0.54959,-0.98624,-0.18135,0.96718,-0.5014,-1.1571,-0.87391,-0.53977,-1.46788,1.42526,-0.84665,-3.75381,-1.3359,-0.85291,-4.22111,1.46965,-0.93043,-4.24602,-1.4251,-0.93212,-4.80235,1.43026,-0.97398,-4.43851,-1.38786,-0.97572,-4.91882,1.38837,-0.94429,-3.89325,-1.33489,-0.95194,-4.36491,0.35312,0.00531,-0.01084,-0.35312,-0.00531,0.01084,0.62103,0.72791,-0.00266,-0.58419,0.72241,-0.16921,0.80221,1.41451,1.7827,-0.77375,1.39271,1.56548,0.71462,1.51631,1.86581,-0.68808,1.49261,1.67649,1.12574,1.75258,0.44303,-1.14726,1.72773,0.29491
3,1,SALAH,-0.5482,0.6694,-0.18026,0.07858,-1.29404,-2.99152,0.16363,-1.36591,-2.75268,0.21302,-1.36457,-2.75568,0.26324,-1.36229,-2.75523,0.00032,-1.3719,-2.76479,-0.05306,-1.37252,-2.76811,-0.09673,-1.37092,-2.77,0.31595,-1.33252,-1.30237,-0.17641,-1.33244,-1.3549,0.16998,-1.21584,-2.42169,-0.01375,-1.21777,-2.45823,0.62039,-0.9105,-0.38214,-0.51071,-0.92455,-0.40562,0.90459,-0.46438,-1.3729,-0.81343,-0.4918,-1.66859,1.32882,-0.79378,-3.88855,-1.23788,-0.79373,-4.29777,1.36874,-0.86626,-4.37076,-1.31823,-0.8708,-4.85821,1.33669,-0.90934,-4.54758,-1.28531,-0.91093,-4.9566,1.30504,-0.8841,-4.01926,-1.23855,-0.88781,-4.42931,0.33168,0.00534,0.0069,-0.33168,-0.00534,-0.0069,0.58117,0.67454,0.01338,-0.5482,0.6694,-0.18026,0.74944,1.31426,1.68853,-0.71873,1.29364,1.5127,0.66814,1.41175,1.77041,-0.63229,1.38713,1.62156,1.03893,1.62784,0.42144,-1.07226,1.60565,0.2927
4,1,SALAH,-0.5578,0.6613,-0.224,0.08104,-1.2926,-2.97737,0.16636,-1.36392,-2.73966,0.21529,-1.36199,-2.74264,0.26683,-1.35916,-2.7422,0.00387,-1.36951,-2.75171,-0.04852,-1.37021,-2.75501,-0.09191,-1.3682,-2.75689,0.31768,-1.32925,-1.29621,-0.17186,-1.33226,-1.34849,0.17254,-1.21283,-2.41024,-0.01006,-1.21952,-2.4466,0.62101,-0.90771,-0.38033,-0.50544,-0.92857,-0.40369,0.90376,-0.46233,-1.36641,-0.80945,-0.48907,-1.66069,1.32561,-0.79887,-3.83759,-1.22726,-0.79994,-4.27744,1.36504,-0.8629,-4.30555,-1.30945,-0.87572,-4.83523,1.33346,-0.9094,-4.48544,-1.27902,-0.913,-4.93316,1.30584,-0.88651,-3.96772,-1.23254,-0.88987,-4.40836,0.33259,0.00471,0.00882,-0.33259,-0.00471,-0.00882,0.5979,0.65949,-0.04327,-0.5578,0.6613,-0.224,0.74871,1.29524,1.61182,-0.71154,1.27414,1.47016,0.66745,1.39426,1.69073,-0.62309,1.36768,1.58274,1.0345,1.60638,0.33101,-1.06562,1.58319,0.29865
5,1,SALAH,-0.54547,0.61128,-0.31736,0.07531,-1.19956,-2.97969,0.15442,-1.26497,-2.76194,0.19863,-1.26343,-2.76481,0.24916,-1.26052,-2.7644,0.00387,-1.2692,-2.77642,-0.04395,-1.2698,-2.77958,-0.0842,-1.27088,-2.78144,0.29648,-1.23413,-1.39472,-0.15709,-1.23969,-1.45671,0.16083,-1.12708,-2.43998,-0.0093,-1.13533,-2.47776,0.57908,-0.84678,-0.47476,-0.47108,-0.86877,-0.54091,0.84575,-0.44066,-1.34113,-0.76934,-0.4589,-1.72648,1.23828,-0.75833,-3.63419,-1.14423,-0.75837,-4.15496,1.27486,-0.81165,-4.07071,-1.22164,-0.82751,-4.67218,1.24578,-0.85741,-4.24008,-1.19343,-0.85834,-4.76558,1.22287,-0.83778,-3.75617,-1.15081,-0.8367,-4.27656,0.31141,0.00357,0.01143,-0.31141,-0.00357,-0.01143,0.60012,0.60647,-0.08275,-0.54547,0.61128,-0.31736,0.69803,1.19201,1.4763,-0.66251,1.17056,1.35698,0.62202,1.28393,1.55366,-0.5774,1.25798,1.46727,0.96529,1.48002,0.28589,-0.99522,1.45842,0.28881
6,0,BENAR,-0.54678,0.5615,-0.41089,0.06444,-1.10704,-2.95559,0.13719,-1.16558,-2.74735,0.17889,-1.16388,-2.75011,0.22632,-1.16019,-2.74967,-0.0021,-1.17097,-2.7632,-0.04663,-1.17154,-2.76609,-0.08286,-1.17256,-2.76774,0.27057,-1.13643,-1.44171,-0.1489,-1.14389,-1.51292,0.14418,-1.03984,-2.44031,-0.01214,-1.0484,-2.47915,0.53205,-0.78549,-0.58568,-0.44441,-0.79866,-0.63195,0.78205,-0.41887,-1.42093,-0.73093,-0.4291,-1.72938,1.14537,-0.70908,-3.6313,-1.07337,-0.7072,-4.00538,1.18076,-0.75709,-4.05765,-1.14143,-0.76925,-4.50777,1.15125,-0.8,-4.21444,-1.11464,-0.79715,-4.6141,1.12991,-0.78173,-3.74691,-1.07741,-0.77599,-4.1284,0.2956,0.00276,0.01134,-0.2956,-0.00276,-0.01134,0.59143,0.55999,-0.11963,-0.54678,0.5615,-0.41089,0.64154,1.09322,1.39985,-0.62092,1.07391,1.21619,0.5702,1.17737,1.4757,-0.5385,1.15429,1.33379,0.89057,1.35861,0.31528,-0.93192,1.3417,0.25598
7,0,BENAR,-0.60676,0.5683,-0.53192,0.06129,-1.11727,-2.98622,0.13188,-1.17657,-2.77325,0.17528,-1.17366,-2.77607,0.22324,-1.16982,-2.77562,-0.00573,-1.18331,-2.79076,-0.05223,-1.18389,-2.79369,-0.0874,-1.18378,-2.79535,0.26894,-1.14369,-1.44621,-0.15711,-1.15325,-1.52496,0.14211,-1.04913,-2.46288,-0.01451,-1.0568,-2.50431,0.53472,-0.79269,-0.58707,-0.46179,-0.80468,-0.61389,0.78886,-0.43101,-1.42626,-0.75363,-0.44409,-1.70757,1.15724,-0.72213,-3.68106,-1.10534,-0.71523,-4.06661,1.1973,-0.76854,-4.12235,-1.17019,-0.77704,-4.56919,1.1636,-0.81184,-4.28727,-1.1443,-0.80548,-4.67288,1.14027,-0.79267,-3.80108,-1.10812,-0.78407,-4.18884,0.30741,0.00195,0.01091,-0.30741,-0.00195,-0.01091,0.62567,0.56667,-0.15646,-0.60676,0.5683,-0.53192,0.6444,1.10175,1.50125,-0.64032,1.08304,1.21775,0.56899,1.1804,1.59508,-0.55086,1.16433,1.32927,0.90044,1.37058,0.42753,-0.95871,1.3557,0.25396
8,0,BENAR,-0.67079,0.588,-0.5981,0.06035,-1.14675,-2.94277,0.13318,-1.2094,-2.7184,0.17833,-1.20636,-2.72126,0.22821,-1.2025,-2.7208,-0.00703,-1.21652,-2.73319,-0.05579,-1.21726,-2.73615,-0.09153,-1.21682,-2.73778,0.27738,-1.17573,-1.36502,-0.16467,-1.18712,-1.44026,0.14513,-1.07767,-2.40765,-0.01722,-1.08081,-2.44592,0.55466,-0.8122,-0.55299,-0.48212,-0.82337,-0.59572,0.81553,-0.44884,-1.44793,-0.78733,-0.45476,-1.6835,1.19756,-0.7429,-3.86641,-1.15324,-0.73708,-4.18108,1.2398,-0.79268,-4.34461,-1.2171,-0.80208,-4.72027,1.20425,-0.83511,-4.50087,-1.19105,-0.83302,-4.8312,1.17502,-0.81379,-3.98675,-1.15608,-0.81063,-4.31326,0.32021,0.00222,-0.0062,-0.32021,-0.00222,0.0062,0.67465,0.59009,-0.34695,-0.67079,0.588,-0.5981,0.66484,1.13313,1.52212,-0.66773,1.11417,1.36215,0.58255,1.20864,1.61732,-0.57173,1.19641,1.51018,0.93686,1.4102,0.48229,-1.00556,1.38316,0.43897
9,0,BENAR,-0.73982,0.597,-0.69723,0.06656,-1.16588,-2.98339,0.1376,-1.2281,-2.75771,0.18601,-1.22452,-2.76071,0.23492,-1.2211,-2.76031,-0.00163,-1.23927,-2.77007,-0.05326,-1.24139,-2.77307,-0.09003,-1.24168,-2.77466,0.28559,-1.19734,-1.38204,-0.16731,-1.21255,-1.43991,0.15049,-1.09529,-2.443,-0.01584,-1.09978,-2.47847,0.56882,-0.83252,-0.56452,-0.49179,-0.83545,-0.53633,0.82644,-0.46352,-1.55242,-0.80465,-0.46179,-1.68798,1.22089,-0.75267,-3.96196,-1.17567,-0.75029,-4.16512,1.27748,-0.80818,-4.44436,-1.24435,-0.82095,-4.70183,1.23491,-0.85151,-4.60412,-1.21673,-0.85355,-4.80928,1.19905,-0.82908,-4.08504,-1.18045,-0.82976,-4.29563,0.32775,0.00276,-0.0243,-0.32775,-0.00276,0.0243,0.719,0.59634,-0.4506,-0.73982,0.597,-0.69723,0.68054,1.13732,1.48543,-0.68399,1.1203,1.4065,0.59219,1.21333,1.60173,-0.5859,1.20513,1.54658,0.986,1.40353,0.4932,-1.06791,1.36747,0.50502
10,0,BENAR,-0.83594,0.61004,-0.99172,0.07504,-1.18578,-3.0321,0.14466,-1.24942,-2.80958,0.19858,-1.24603,-2.81269,0.24553,-1.24308,-2.8123,0.00326,-1.2612,-2.8227,-0.05087,-1.26417,-2.82592,-0.0891,-1.26517,-2.82776,0.29745,-1.21895,-1.39868,-0.17137,-1.23554,-1.46615,0.15869,-1.11363,-2.49024,-0.01364,-1.11676,-2.52641,0.58852,-0.84682,-0.5672,-0.50621,-0.8517,-0.48554,0.83845,-0.46845,-1.55677,-0.83014,-0.46549,-1.58331,1.24124,-0.7646,-3.96806,-1.20912,-0.77036,-3.97765,1.32296,-0.82952,-4.43665,-1.27887,-0.84487,-4.4803,1.27391,-0.87766,-4.608,-1.25572,-0.8721,-4.60802,1.22406,-0.85275,-4.09534,-1.2172,-0.84902,-4.11269,0.33877,0.0025,-0.02878,-0.33877,-0.0025,0.02878,0.77994,0.61085,-0.74984,-0.83594,0.61004,-0.99172,0.70363,1.15446,1.31028,-0.70586,1.1378,1.32595,0.6093,1.2301,1.45134,-0.60068,1.22216,1.51672,1.05011,1.42919,0.39631,-1.13599,1.38672,0.51279
