scenario,device,checkpoint,parameters,checkpoint_size_mb,bsp_active,learned_spatial_active,temporal_active,input_shape,output_shape,warmup_iterations,measured_iterations,peak_cuda_memory_mb,mean_ms,median_ms,std_ms,p95_ms,min_ms,max_ms,sequences_per_second
S1 Baseline,cpu,best_model_baseline.pth,101858,1.1862592697143555,False,False,False,"(1, 64, 33, 3)","(1, 64, 2)",50,500,0.0,1.165877,1.1576,0.1601537912279612,1.4312399999999998,0.8149,1.9039,857.7234133617868
S2 Full Model,cpu,best_model_v2.pth,110372,1.2917966842651367,True,True,True,"(1, 64, 33, 3)","(1, 64, 2)",50,500,0.0,1.6253742000000002,1.6303,0.16534755366004883,1.9125100000000002,1.1762,2.4409,615.2429391336468
S3a BSP,cpu,best_model_ablasi_a.pth,101891,1.1872272491455078,True,False,False,"(1, 64, 33, 3)","(1, 64, 2)",50,500,0.0,1.2578348,1.2516,0.1404779422310383,1.53476,0.8613,1.7617,795.0169608918437
S3b BSP+Learned Spatial,cpu,best_model_ablasi_b.pth,102020,1.1916723251342773,True,False,True,"(1, 64, 33, 3)","(1, 64, 2)",50,500,0.0,1.5669996,1.556,0.17304447526772232,1.8775299999999997,1.0857,2.6442,638.1622560720501
S3c BSP+Temporal,cpu,best_model_ablasi_c.pth,110243,1.2882375717163086,True,True,False,"(1, 64, 33, 3)","(1, 64, 2)",50,500,0.0,1.4002788000000002,1.38925,0.1566983752058211,1.6818499999999998,0.9633,2.1792,714.1434977091704
S1 Baseline,cuda,best_model_baseline.pth,101858,1.1862592697143555,False,False,False,"(1, 64, 33, 3)","(1, 64, 2)",50,500,77.29443359375,0.6964342,0.68655,0.03446259350458297,0.733105,0.6696,1.0046,1435.8858309945147
S2 Full Model,cuda,best_model_v2.pth,110372,1.2917966842651367,True,True,True,"(1, 64, 33, 3)","(1, 64, 2)",50,500,22.70556640625,1.0658264,1.03755,0.09471258337697204,1.2470599999999996,1.0026,1.8424,938.2390978493308
S3a BSP,cuda,best_model_ablasi_a.pth,101891,1.1872272491455078,True,False,False,"(1, 64, 33, 3)","(1, 64, 2)",50,500,9.59326171875,0.826941,0.7517,0.225528831697532,1.20667,0.7101,3.2397,1209.2761152246653
S3b BSP+Learned Spatial,cuda,best_model_ablasi_b.pth,102020,1.1916723251342773,True,False,True,"(1, 64, 33, 3)","(1, 64, 2)",50,500,9.59521484375,0.9145152000000001,0.8846,0.11556788152180897,1.0829549999999997,0.8544,2.0465,1093.4755376400522
S3c BSP+Temporal,cuda,best_model_ablasi_c.pth,110243,1.2882375717163086,True,True,False,"(1, 64, 33, 3)","(1, 64, 2)",50,500,9.70458984375,0.9675426,0.9349,0.12081355285872813,1.1173099999999998,0.9018,1.9751,1033.5462231843849
