frame_index,angle_knee_left,angle_knee_right,angle_knee_avg,angle_hip_left,angle_hip_right,angle_hip_avg,valgus_ratio,criteria_1_pass,criteria_2_pass,criteria_3_pass,all_criteria_pass,landmarks
0,117.2,116.24,116.72,139.94,151.16,145.55,0.7641,False,False,False,False,"L/R Shoulder, Hip, Knee, Ankle"
1,112.19,98.6,105.39,141.74,142.48,142.11,0.7648,False,False,False,False,"L/R Shoulder, Hip, Knee, Ankle"
2,111.96,97.15,104.55,137.25,133.63,135.44,0.7692,False,True,False,False,"L/R Shoulder, Hip, Knee, Ankle"
3,107.07,93.37,100.22,133.17,130.96,132.07,0.7914,False,True,False,False,"L/R Shoulder, Hip, Knee, Ankle"
4,102.02,83.69,92.86,124.64,116.52,120.58,0.842,False,True,True,False,"L/R Shoulder, Hip, Knee, Ankle"
5,96.25,74.18,85.21,116.38,102.6,109.49,0.9016,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
6,91.51,66.27,78.89,113.86,96.65,105.26,0.9593,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
7,77.57,61.87,69.72,105.72,93.9,99.81,1.0097,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
8,71.85,56.48,64.16,101.64,91.5,96.57,1.0691,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
9,57.64,46.68,52.16,90.97,86.12,88.54,1.1464,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
10,51.21,44.52,47.86,99.36,97.11,98.24,1.2199,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
11,48.77,42.86,45.81,97.84,95.88,96.86,1.2802,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
12,47.63,43.14,45.39,83.88,82.05,82.97,1.3437,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
13,46.52,42.91,44.71,82.83,82.41,82.62,1.4017,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
14,45.93,42.24,44.08,88.16,89.33,88.75,1.4423,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
15,45.37,41.92,43.64,108.48,112.29,110.38,1.4794,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
16,49.34,40.61,44.97,107.43,108.34,107.88,1.5095,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
17,51.04,40.3,45.67,106.5,106.89,106.7,1.5422,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
18,50.68,39.95,45.32,98.66,96.02,97.34,1.5654,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
19,50.99,39.47,45.23,97.38,94.58,95.98,1.5873,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
20,50.95,38.46,44.7,91.62,89.48,90.55,1.5964,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
21,49.43,37.78,43.6,77.5,73.58,75.54,1.5996,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
22,48.13,36.03,42.08,73.9,70.25,72.07,1.5967,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
23,43.01,33.02,38.01,65.21,60.94,63.08,1.594,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
24,39.04,31.4,35.22,56.78,53.4,55.09,1.5903,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
25,35.65,30.79,33.22,50.36,49.17,49.76,1.5862,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
26,31.68,29.04,30.36,45.27,46.4,45.84,1.5754,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
27,29.91,27.33,28.62,43.79,45.45,44.62,1.5588,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
28,29.05,26.05,27.55,43.28,44.51,43.9,1.5368,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
29,28.92,24.19,26.55,41.59,40.78,41.19,1.5194,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
30,28.61,23.45,26.03,41.21,40.36,40.78,1.521,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
31,27.04,22.07,24.56,39.71,39.24,39.47,1.5209,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
32,25.22,21.92,23.57,37.31,38.31,37.81,1.5182,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
33,25.06,21.72,23.39,36.7,37.7,37.2,1.514,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
34,25.48,21.06,23.27,36.91,37.03,36.97,1.4991,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
35,25.91,21.17,23.54,37.25,37.48,37.36,1.4767,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
36,26.87,21.88,24.37,37.6,37.95,37.77,1.4447,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
37,27.2,22.29,24.75,36.86,35.76,36.31,1.4142,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
38,27.86,23.08,25.47,36.88,35.15,36.02,1.3948,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
39,30.99,25.86,28.42,42.58,40.26,41.42,1.3911,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
40,36.97,30.37,33.67,50.64,46.34,48.49,1.3917,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
41,41.74,32.66,37.2,58.2,52.8,55.5,1.3946,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
42,45.27,33.76,39.51,74.62,67.46,71.04,1.4128,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
43,46.02,35.88,40.95,80.62,73.51,77.06,1.4251,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
44,47.97,36.88,42.43,81.74,75.47,78.6,1.4394,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
45,50.7,36.89,43.79,110.4,110.97,110.69,1.4501,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
46,54.03,37.22,45.62,121.9,127.81,124.86,1.4432,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
47,53.88,36.56,45.22,129.54,138.75,134.15,1.4356,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
48,50.04,36.25,43.15,132.97,139.17,136.07,1.4129,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
49,46.6,35.49,41.04,137.04,143.2,140.12,1.3801,True,False,True,False,"L/R Shoulder, Hip, Knee, Ankle"
50,45.87,35.92,40.89,139.63,144.39,142.01,1.3186,True,False,True,False,"L/R Shoulder, Hip, Knee, Ankle"
51,46.77,37.8,42.29,140.06,143.16,141.61,1.2595,True,False,True,False,"L/R Shoulder, Hip, Knee, Ankle"
52,50.92,39.24,45.08,140.1,142.3,141.2,1.2076,True,False,True,False,"L/R Shoulder, Hip, Knee, Ankle"
53,56.49,42.49,49.49,134.62,137.28,135.95,1.1504,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
54,63.19,47.6,55.4,128.93,127.06,127.99,1.0953,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
55,71.62,50.04,60.83,123.78,115.04,119.41,1.05,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
56,80.07,58.87,69.47,126.69,121.72,124.2,1.0191,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
57,87.65,66.93,77.29,125.29,124.18,124.74,0.9946,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
58,89.99,70.28,80.14,125.23,126.58,125.9,0.9813,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
59,91.28,72.63,81.96,126.59,129.6,128.1,0.966,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
60,93.74,75.41,84.58,129.12,132.47,130.8,0.9525,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
61,97.62,74.21,85.92,131.66,133.26,132.46,0.9357,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
62,98.19,72.06,85.13,134.37,134.89,134.63,0.9124,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
63,100.78,73.14,86.96,135.71,136.49,136.1,0.894,True,True,True,True,"L/R Shoulder, Hip, Knee, Ankle"
